magentabase, magentapareach, magentapar10, magentapar100, magentapar1000, magentapar10000, magentapar100000,
0.93,	     0.98,	     18.69,	   >50.00, 	  26.35, 	  13.99, 	   12.19,
0.11, 	     0.11, 	     18.58, 	   3.42, 	  2.12, 	  2.10, 	   2.20,
0.03, 	     0.03, 	     0.43, 	   0.24, 	  0.22, 	  0.23, 	   0.23,
0.18, 	     0.19, 	     18.75, 	   8.88, 	  4.22, 	  4.05, 	   4.43,



(1e7, 1e8, 1e2, 1e3
1e6, 1e7, 1e3, 1e4,
1e5, 1e6, 1e4, 1e3,
1e7, 1e2, 1e7, 1e2,)
