redbase, redpar10, redpar100, redpar1000, redpar10000, redpar100000,
0.01, 	 0.01,	   0.01,      0.01,	  0.01,        0.01,
0.01, 	 0.04, 	   0.03,      0.03,	  0.03,	       0.02,
0.02,	 0.32,	   0.20,      0.18, 	  0.18,	       0.17,
0.10,	 11.82,    2.75,      1.81, 	  1.79,	       2.00,
0.88, 	 11.86,    >50.00,    >50.00, 	  >50.00,      >50.00,

(
1e4,
1e5,
1e6,
1e7,
1e8
)	  
 
